DOL Salary Data,,,,,,,,
:: Assumed Salaries shown in black font,,,,,,,,
,Commercial and industrial designers," $58,060 "," $23,721 "," $31,810 "," $42,040 "," $58,060 "," $77,300 "," $95,910 "
,Commercial divers," $52,540 "," $25,502 "," $32,510 "," $38,540 "," $52,540 "," $69,160 "," $94,130 "
,Commercial pilots," $65,840 "," $33,383 "," $32,520 "," $46,330 "," $65,840 "," $88,050 "," $120,550 "
,"Communications equipment operators, all other"," $37,700 "," $12,770 "," $21,940 "," $29,230 "," $37,700 "," $46,520 "," $57,490 "
,"Communications teachers, postsecondary"," $58,890 "," $27,810 "," $33,880 "," $44,740 "," $58,890 "," $79,730 "," $104,100 "
,"Community and social service specialists, all other"," $37,580 "," $16,487 "," $22,500 "," $29,220 "," $37,580 "," $49,580 "," $64,140 "
,Community and social services occupations," $38,970 "," $18,212 "," $22,640 "," $29,310 "," $38,970 "," $52,990 "," $68,540 "
,Compensation and benefits managers," $88,050 "," $37,590 "," $50,590 "," $66,510 "," $88,050 "," $115,180 "," $148,390 "
,"Compensation, benefits, and job analysis specialists"," $55,620 "," $19,787 "," $34,960 "," $43,340 "," $55,620 "," $70,130 "," $86,540 "
,"Compliance officers, except agriculture, construction, health and safety, and transportation"," $49,750 "," $23,311 "," $31,170 "," $37,080 "," $49,750 "," $67,680 "," $87,610 "
,"Computer and information scientists, research"," $101,570 "," $34,696 "," $61,480 "," $78,620 "," $101,570 "," $127,600 "," $155,420 "
,Computer and information systems managers," $113,720 "," $39,604 "," $69,900 "," $89,240 "," $113,720 "," $143,590 "," $175,389 "
,Computer and mathematical science occupations," $72,900 "," $29,363 "," $38,590 "," $52,890 "," $72,900 "," $95,870 "," $119,660 "
,Computer hardware engineers," $98,820 "," $32,491 "," $60,690 "," $77,280 "," $98,820 "," $124,120 "," $148,910 "
,Computer operators," $36,110 "," $12,151 "," $22,300 "," $27,910 "," $36,110 "," $46,150 "," $54,920 "
,Computer programmers," $70,940 "," $26,889 "," $40,640 "," $53,620 "," $70,940 "," $91,000 "," $113,380 "
